
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version

    BusSpeed arm64 armv8.4-a optimized Tue Dec 14 21:06:06 2021
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   9456   9488  10353  10673  10660  10612
      32  10318  10348  10321  10613  10626  10662
      64  10318  10344  10595  10612  10628  10618
     128   8857  10592  10562  10656  10681  10685
     256   5161   5216  10520  10692  10692  10675
     512   5265   5300  10564  10631  10682  10690
    1024   5257   5313  10650  10692  10638  10638
    4096   5252   5266  10507  10617  10614  10652
   16384   1981   3839   8154  10370  10458  10579
   65536   1060   3594   7575  10569  10634  10547

 Type additional information to include in busSpeed.txt - Press Enter
