
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version

    BusSpeed arm64 native optimized Tue Dec 14 21:06:47 2021
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   9471   9490  10354  10672  10649  10565
      32  10315  10292  10298  10603  10609  10595
      64  10295  10321  10587  10662  10676  10612
     128   8893  10556  10566  10633  10615  10628
     256   5173   5239  10571  10658  10646  10621
     512   5231   5281  10605  10670  10675  10656
    1024   5255   5291  10589  10621  10594  10651
    4096   5269   5281  10473  10694  10637  10626
   16384   1893   3763   7844  10472  10565  10648
   65536    996   3582   7470  10486  10594  10597

 Type additional information to include in busSpeed.txt - Press Enter
