
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version


   Memory Reading Speed Test arm64 armv8.4-a optimized Tue Dec 14 21:37:28 2021
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   41354  41280  42314  47488  48672  47232  64275  62297  64305
      16   41960  41995  41962  48064  48124  47777  64480  64463  64530
      32   41596  42111  42089  48463  48474  48433  64083  66858  64487
      64   42132  42130  42077  48546  48549  48494  62790  62566  62948
     128   42136  42106  42056  48626  48585  48353  58839  66025  66028
     256   42188  42147  42062  48514  48463  48435  71318  70758  70780
     512   42207  42183  42095  48607  48582  48534  39503  39563  39563
    1024   42241  42215  42108  48655  48621  48570  39679  39831  39865
    2048   42244  42201  42148  48642  48639  48570  39949  39995  39986
    4096   41642  41618  41680  47827  47822  47784  39903  39558  40031
    8192   40924  40920  41107  47035  47036  46973  38117  38160  38250

                End of test Tue Dec 14 21:37:44 2021

