 ##########################################

   Memory Reading Speed Test amd64 x86-64 optimized Wed Feb  9 19:10:26 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   63074  20420  70901  68426  20442  72533  44526  44899  44637
      16   64464  20192  73239  70287  19968  75040  46094  47781  47937
      32   65386  20246  74001  71004  19990  75700  46981  49614  49703
      64   64661  19343  74305  69864  20094  78887  46975  50663  50674
     128   65450  19350  74591  71596  20114  79535  46855  50958  50936
     256   59800  19757  63516  62597  19981  64573  31625  41439  41518
     512   60347  19771  64148  63179  20035  65247  31901  41826  42139
    1024   60223  19778  64299  63271  19992  65107  31924  41926  42024
    2048   59474  19674  63589  62373  19807  64822  31470  41604  41512
    4096   59417  19695  63517  62542  19801  65015  31805  41678  41625
    8192   56633  19263  60477  59347  19509  61328  29987  38861  38824

                End of test Wed Feb  9 19:10:41 2022

