 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Sat Jan 28 12:35:28 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   52710  53624  53847  59930  61197  61036  82721  85435  84418
      16   53512  53591  53630  60949  60855  60680  80823  85411  85206
      32   53637  53712  53748  61003  60854  60787  78789  82098  82577
      64   53691  53540  53838  61258  61389  61176  70319  66623  66529
     128   53954  53302  53930  61553  61401  60966  48347  50084  47173
     256   53728  52855  53687  61111  61193  60994  90169  89668  89265
     512   53733  53750  53907  61476  61512  61207  50396  50404  50291
    1024   53899  53931  54027  61563  61562  61298  50549  50606  50174
    2048   53597  53806  53869  61376  61269  61091  50577  50533  50583
    4096   53692  53762  53845  61266  61487  61139  50660  50838  51257
    8192   53193  53111  53408  60397  60418  60142  51125  51071  50598

                End of test Sat Jan 28 12:35:43 2023

