 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Sat Jan 28 12:36:15 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   53143  53451  53450 140123 134235 144442  83746  85278  85828
      16   52922  53160  52700 138071 139030 138386  84106  83422  84378
      32   53362  53433  53455 140540 141918 142078  83567  83818  82381
      64   53250  53526  53592  89942  88899  89307  64817  68441  70364
     128   53549  53744  53940  90270  90244  90596  52173  47522  49469
     256   53753  53801  53584  75245  75261  75491  90347  91204  91314
     512   53670  53575  53650  75594  75824  75756  50566  50410  50269
    1024   53570  53696  53727  75865  75781  75931  50771  50706  50475
    2048   53901  53896  53915  76009  76136  76162  51207  51155  51166
    4096   53863  53834  54031  76177  76253  76223  51162  50512  50706
    8192   52882  52930  53145  74201  74394  74373  50528  50689  50691

                End of test Sat Jan 28 12:36:30 2023

