 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Sat Jan 28 12:36:46 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   60566  60795  54068 141064 135410 144735  84355  85569  84497
      16   60018  60252  53354 138141 139196 139217  84083  84920  85029
      32   60565  60451  53363 141337 141568 141891  84413  86199  84893
      64   61169  61183  53932  90489  90421  90330  80484  81051  78010
     128   61237  61247  53875  89356  90225  89787  46311  46480  45724
     256   60735  60676  53518  75154  75420  75312  90624  91331  91144
     512   61272  61184  53900  76077  76149  76012  50648  50260  50144
    1024   61061  61036  53798  75700  75677  75824  50688  50601  50495
    2048   61280  61370  53811  75496  75694  75714  51210  51183  50951
    4096   61283  61276  54069  76149  76292  76103  50899  50796  50610
    8192   59952  59991  53219  74688  74671  74722  50652  50801  50745

                End of test Sat Jan 28 12:37:02 2023

