 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Sat Jan 28 12:36:31 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   61059  60353  54042 141068 135632 144814  84426  86011  85870
      16   59729  60145  53190 138022 139296 139280  84781  84488  83647
      32   60419  60553  53537 141367 141846 141499  81599  81730  86664
      64   61168  61202  53796  90490  90550  90564  73603  71097  70404
     128   61258  61301  53987  90295  90638  90361  48405  45636  46329
     256   60713  60762  53562  75035  75350  75154  90536  91204  91263
     512   61004  61016  53864  75994  76090  76133  50831  50697  50896
    1024   61337  60829  53664  75560  75729  75861  50643  50604  50686
    2048   60843  60986  53599  75613  75665  75691  50834  50680  50733
    4096   61070  61377  54019  76111  76263  76261  51247  51242  51144
    8192   59891  59838  53014  74691  74686  74659  50670  50543  50304

                End of test Sat Jan 28 12:36:46 2023

