 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Sat Jan 28 16:07:54 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   61376  61182  54030  59998  59796  61202  86154  85404  85722
      16   60632  59628  53425  60777  60868  60618  85104  85870  83706
      32   60764  60997  53919  61269  61093  61011  84099  84060  81985
      64   61273  61299  53970  61341  60969  60829  75482  67551  69642
     128   61354  61100  52869  61520  61464  61213  45346  45101  47691
     256   61249  60725  53923  61436  61373  61091  91077  91525  88361
     512   61449  61442  54020  61553  61544  61236  50766  49329  50759
    1024   61501  61468  53973  61056  61439  61236  49880  50568  51006
    2048   61446  61422  53945  61514  61522  60989  50277  51118  51114
    4096   61385  61383  54042  61549  61489  60588  51184  51220  51219
    8192   60268  60257  53213  60173  60319  60150  50872  50751  49957

                End of test Sat Jan 28 16:08:09 2023

