 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Sat Jan 28 16:08:56 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   61385  61095  54105 143995 141114 142502  86474  85905  86002
      16   60682  59484  53676 139017 139481 139478  85628  85352  86415
      32   60850  60936  53928 142355 140099 142071  84546  82078  82142
      64   61223  60850  53618  90472  90603  90621  72074  74121  77126
     128   61078  61322  54014  90704  90694  90690  45617  48838  49729
     256   61225  61215  54001  75867  75870  75862  89201  92086  92134
     512   61354  61345  54041  76074  75365  76182  50815  50825  50832
    1024   61367  61389  54065  75764  76126  76307  51061  51077  51072
    2048   61395  61397  53960  75386  76197  76197  62014  51058  51122
    4096   61437  60808  54081  76318  76317  76320  51082  51296  50287
    8192   60073  60220  53449  75265  75266  75273  51083  51180  51207

                End of test Sat Jan 28 16:09:12 2023

