 ##########################################

   Memory Reading Speed Test arm64 native optimized Sat Jan 28 16:09:12 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   61537  61294  53523  59870  60381  61332  84724  85886  85585
      16   59662  60366  53611  60967  60667  60556  83740  83745  86287
      32   61149  61032  53924  61124  60970  60992  83117  86389  84439
      64   61159  61041  53968  61409  60342  61210  71041  59251  65966
     128   61404  60233  53952  61491  61276  60867  46736  48684  50336
     256   61321  61246  53872  61373  61324  61074  88835  91052  90426
     512   61459  61438  53967  61512  60952  61106  50777  50808  50785
    1024   61466  61498  54036  61597  60961  61301  51056  51031  51042
    2048   61358  61358  53915  60853  61363  61159  51087  51080  51190
    4096   61459  61421  53948  61183  61537  61264  51256  51251  50526
    8192   59967  60175  53357  60284  60314  60023  50796  51045  50933

                End of test Sat Jan 28 16:09:28 2023

