    BusSpeed arm64 neoverse-v1 optimized Sat Jan 28 13:19:15 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  20346  27740  35955  37382  37602  50844
      32  22254  30302  36236  37744  37359  49893
      64  22096  30203  36724  37307  37367  50181
     128  21177  27702  31101  36193  37534  49363
     256   7026   6968  13493  21927  27214  47516
     512   6982   6949  13464  22412  28126  49137
    1024   6987   6953  13484  22601  28282  49345
    4096   7018   6958  13541  22706  28494  49357
   16384   3788   5536  10600  18794  26924  45342
   65536   1839   4355   8426  16107  27833  47167
