    BusSpeed arm64 neoverse-v1 optimized Sat Jan 28 13:19:25 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  20301  27615  35828  37373  37304  50420
      32  22170  30092  35801  37458  37529  50596
      64  22452  30505  37123  37822  37880  50826
     128  21248  27627  30939  36038  37342  49255
     256   6961   6856  13432  22500  28014  48771
     512   6931   6856  13399  22338  28213  49198
    1024   6939   6909  13481  22551  28433  49620
    4096   6967   6951  13599  22780  28820  49282
   16384   3981   5662  10919  19269  27071  45512
   65536   1857   4131   8030  15723  27680  47430
