 ##########################################

   Memory Reading Speed Test arm64 native optimized Sat Jan 28 14:16:17 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   75662  96758  87105  74143  96733  96880  51132  48387  48318
      16   76228 101213  90289  76311 101412 101603  52360  49913  50954
      32   77263 105793  93629  77759 105683 105212  51948  51994  52009
      64   52895  89845  89217  53579  88909  88896  46841  52403  52261
     128   52524  87199  86860  52616  89935  89917  34773  46923  45647
     256   55281  71619  70431  54789  69778  70747  50357  53362  53605
     512   55278  72904  71406  54277  72192  71993  47558  48421  48225
    1024   54170  73052  73032  54264  73318  73235  48137  49555  49666
    2048   55018  72721  71511  53259  71325  71514  47878  49805  50305
    4096   55412  73409  71655  55057  73409  72424  49093  50359  50444
    8192   52469  58697  56077  52418  58645  58445  48536  50835  50685

                End of test Sat Jan 28 14:16:32 2023

