    BusSpeed armv6l armv6l optimized Sun Apr 10 21:01:28 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    293    322    806   1331   1596   1718
      32    116    111    109    140    258    452
      64    101    100    102    118    219    391
     128     46     47     47     62    120    223
     256     35     35     35     47     93    175
     512     33     33     34     45     89    167
    1024     32     33     33     45     88    166
    4096     32     33     33     45     84    166
   16384     32     33     33     45     88    165
   65536     32     33     33     45     88    166
