MemTotal:         443080 kB
MemFree:           91004 kB
MemAvailable:     316956 kB
Buffers:           19424 kB
Cached:           242288 kB
SwapCached:           88 kB
Active:           118952 kB
Inactive:         189988 kB
Active(anon):        816 kB
Inactive(anon):    49912 kB
Active(file):     118136 kB
Inactive(file):   140076 kB
Unevictable:          12 kB
Mlocked:              12 kB
SwapTotal:        102396 kB
SwapFree:          99836 kB
Dirty:                64 kB
Writeback:             0 kB
AnonPages:         47168 kB
Mapped:            42508 kB
Shmem:              3568 kB
Slab:              31576 kB
SReclaimable:      23804 kB
SUnreclaim:         7772 kB
KernelStack:         744 kB
PageTables:         1356 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      323936 kB
Committed_AS:     165800 kB
VmallocTotal:     573440 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
Percpu:               64 kB
CmaTotal:           8192 kB
CmaFree:            6028 kB
