    BusSpeed parisc64 parisc64 optimized Wed Jul  3 22:07:58 2024
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1250    386    428    410   1566   1656
      32   1409    428    432    413   1561   1642
      64   1431    432    444    408   1571   1657
     128   1486    443    445    414   1573   1654
     256   1494    446    447    414   1547   1662
     512   1496    447    447    412   1568   1640
    1024    331    293    339    353   1170   1337
    4096     75     81    138    163    330    500
   16384     74     80    137    165    333    492
   65536     74     80    134    164    334    489
