 ##########################################

   Memory Reading Speed Test parisc64 parisc64-2.0 optimized Wed Jul  3 22:44:25 2024
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    3244   2789   3552   3228   2745   3525   2744   1248   1254
      16    3275   2795   3595   3241   2748   3530   2750   1258   1259
      32    3263   2800   3583   3235   2751   3535   2773   1260   1260
      64    3262   2799   3596   3249   2751   3415   2763   1256   1239
     128    3269   2800   3600   3252   2740   3534   2772   1260   1261
     256    3246   2792   3599   3253   2747   3534   2783   1260   1258
     512    3262   2785   3585   3245   2716   3515   2766   1257   1256
    1024    2389   2310   2873   2273   2203   2813   1763    941    956
    2048     449    743    760    451    740    754    339    206    209
    4096     403    677    691    404    674    692    316    189    191
    8192     390    592    602    394    589    539    314    186    187

                End of test Wed Jul  3 22:44:43 2024

