2K performance run parameters for coremark.
CoreMark Size    : 666
Total ticks      : 17888
Total time (secs): 17.888000
Iterations/Sec   : 2146690.518784
Iterations       : 38400000
Compiler version : GCC9.3.0
Compiler flags   : -g -DPERFORMANCE_RUN=1 -lrt
Parallel Fork : 128
Memory location  : Please put data memory location here
			(e.g. code in flash, data on heap etc)
seedcrc          : 0xe9f5
[0]crclist       : 0xe714
[1]crclist       : 0xe714
[2]crclist       : 0xe714
[3]crclist       : 0xe714
[4]crclist       : 0xe714
[5]crclist       : 0xe714
[6]crclist       : 0xe714
[7]crclist       : 0xe714
[8]crclist       : 0xe714
[9]crclist       : 0xe714
[10]crclist       : 0xe714
[11]crclist       : 0xe714
[12]crclist       : 0xe714
[13]crclist       : 0xe714
[14]crclist       : 0xe714
[15]crclist       : 0xe714
[16]crclist       : 0xe714
[17]crclist       : 0xe714
[18]crclist       : 0xe714
[19]crclist       : 0xe714
[20]crclist       : 0xe714
[21]crclist       : 0xe714
[22]crclist       : 0xe714
[23]crclist       : 0xe714
[24]crclist       : 0xe714
[25]crclist       : 0xe714
[26]crclist       : 0xe714
[27]crclist       : 0xe714
[28]crclist       : 0xe714
[29]crclist       : 0xe714
[30]crclist       : 0xe714
[31]crclist       : 0xe714
[32]crclist       : 0xe714
[33]crclist       : 0xe714
[34]crclist       : 0xe714
[35]crclist       : 0xe714
[36]crclist       : 0xe714
[37]crclist       : 0xe714
[38]crclist       : 0xe714
[39]crclist       : 0xe714
[40]crclist       : 0xe714
[41]crclist       : 0xe714
[42]crclist       : 0xe714
[43]crclist       : 0xe714
[44]crclist       : 0xe714
[45]crclist       : 0xe714
[46]crclist       : 0xe714
[47]crclist       : 0xe714
[48]crclist       : 0xe714
[49]crclist       : 0xe714
[50]crclist       : 0xe714
[51]crclist       : 0xe714
[52]crclist       : 0xe714
[53]crclist       : 0xe714
[54]crclist       : 0xe714
[55]crclist       : 0xe714
[56]crclist       : 0xe714
[57]crclist       : 0xe714
[58]crclist       : 0xe714
[59]crclist       : 0xe714
[60]crclist       : 0xe714
[61]crclist       : 0xe714
[62]crclist       : 0xe714
[63]crclist       : 0xe714
[64]crclist       : 0xe714
[65]crclist       : 0xe714
[66]crclist       : 0xe714
[67]crclist       : 0xe714
[68]crclist       : 0xe714
[69]crclist       : 0xe714
[70]crclist       : 0xe714
[71]crclist       : 0xe714
[72]crclist       : 0xe714
[73]crclist       : 0xe714
[74]crclist       : 0xe714
[75]crclist       : 0xe714
[76]crclist       : 0xe714
[77]crclist       : 0xe714
[78]crclist       : 0xe714
[79]crclist       : 0xe714
[80]crclist       : 0xe714
[81]crclist       : 0xe714
[82]crclist       : 0xe714
[83]crclist       : 0xe714
[84]crclist       : 0xe714
[85]crclist       : 0xe714
[86]crclist       : 0xe714
[87]crclist       : 0xe714
[88]crclist       : 0xe714
[89]crclist       : 0xe714
[90]crclist       : 0xe714
[91]crclist       : 0xe714
[92]crclist       : 0xe714
[93]crclist       : 0xe714
[94]crclist       : 0xe714
[95]crclist       : 0xe714
[96]crclist       : 0xe714
[97]crclist       : 0xe714
[98]crclist       : 0xe714
[99]crclist       : 0xe714
[100]crclist       : 0xe714
[101]crclist       : 0xe714
[102]crclist       : 0xe714
[103]crclist       : 0xe714
[104]crclist       : 0xe714
[105]crclist       : 0xe714
[106]crclist       : 0xe714
[107]crclist       : 0xe714
[108]crclist       : 0xe714
[109]crclist       : 0xe714
[110]crclist       : 0xe714
[111]crclist       : 0xe714
[112]crclist       : 0xe714
[113]crclist       : 0xe714
[114]crclist       : 0xe714
[115]crclist       : 0xe714
[116]crclist       : 0xe714
[117]crclist       : 0xe714
[118]crclist       : 0xe714
[119]crclist       : 0xe714
[120]crclist       : 0xe714
[121]crclist       : 0xe714
[122]crclist       : 0xe714
[123]crclist       : 0xe714
[124]crclist       : 0xe714
[125]crclist       : 0xe714
[126]crclist       : 0xe714
[127]crclist       : 0xe714
[0]crcmatrix     : 0x1fd7
[1]crcmatrix     : 0x1fd7
[2]crcmatrix     : 0x1fd7
[3]crcmatrix     : 0x1fd7
[4]crcmatrix     : 0x1fd7
[5]crcmatrix     : 0x1fd7
[6]crcmatrix     : 0x1fd7
[7]crcmatrix     : 0x1fd7
[8]crcmatrix     : 0x1fd7
[9]crcmatrix     : 0x1fd7
[10]crcmatrix     : 0x1fd7
[11]crcmatrix     : 0x1fd7
[12]crcmatrix     : 0x1fd7
[13]crcmatrix     : 0x1fd7
[14]crcmatrix     : 0x1fd7
[15]crcmatrix     : 0x1fd7
[16]crcmatrix     : 0x1fd7
[17]crcmatrix     : 0x1fd7
