    BusSpeed aarch64 armv8-a optimized Tue Jan 18 10:34:59 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   8839   5953   6664   6841   7002   7354
      32   9820   6549   6696   6860   6999   7385
      64   8411   5984   6804   6833   7006   7374
     128   4034   3719   5744   6170   6554   7368
     256   3705   3431   5165   5902   6449   7337
     512   3013   2777   4102   4712   6216   7079
    1024   1568   1524   2440   3840   5076   6426
    4096   1303   1333   2309   3731   4892   6314
   16384   1185   1231   1957   3286   4496   5844
   65536    849    901   1374   2277   3743   5208
