    BusSpeed aarch64 armv8.1-a optimized Tue Jan 18 10:31:51 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   8837   5942   6710   6872   7006   7382
      32   9824   6536   6725   6877   7020   7391
      64   8546   6077   6872   6874   7013   7405
     128   4038   3894   5735   6166   6550   7345
     256   3906   3693   5774   6177   6550   7381
     512   3016   2780   4126   5278   6110   7131
    1024   1625   1603   1848   2799   4333   6260
    4096   1289   1250   2176   3523   4820   6197
   16384   1185   1205   1922   3254   4670   5876
   65536    831    883   1332   2209   3596   5136
