    BusSpeed aarch64 armv8.2-a optimized Tue Jan 18 10:33:30 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   8842   6000   6692   6909   7003   8993
      32   9824   6593   6723   6919   7010   8983
      64   8635   6132   6853   6928   7006   9024
     128   4015   3866   5739   6231   6566   8618
     256   3697   3445   5154   5956   6526   8566
     512   2998   2749   4055   5234   6345   8419
    1024   1606   1617   1777   2779   4366   7180
    4096   1282   1269   2190   3549   4971   7299
   16384   1185   1233   1975   3277   4796   6764
   65536    848    924   1343   2291   3901   5365
