 ##########################################

   Memory Reading Speed Test aarch64 armv8-a optimized Tue Jan 18 14:22:30 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   18260  12548  15926  23630  15302  17080  36168  33219  33536
      16   18300  12580  15872  23435  15224  17094  34669  33723  33511
      32   18270  12570  15859  23426  15238  17025  36317  32809  32816
      64   18284  12572  15887  23453  15199  17042  34554  33031  33035
     128   15797  10718  12315  18243  12065  12526  21825  21643  21646
     256   15525  10779  12309  17148  11981  12439  18667  18612  18626
     512   15201   9994  11285  14915  11437  11881  15822  15767  15729
    1024   12694   8864   9905  12768   9693  10077  11813  11731  11796
    2048   10722   8289   9258  11827   9138   9394   9832  10272  10318
    4096   10343   8152   9031  11060   9001   9213  10043  10022  10019
    8192    9710   7819   8487  10301   8553   8731   8476   8483   8471

                End of test Tue Jan 18 14:22:48 2022

