 ##########################################

   Memory Reading Speed Test aarch64 armv8-a optimized Tue Jan 18 14:22:48 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   18270  12559  15895  23623  15231  17216  36161  33221  33537
      16   18300  12571  15856  23440  15281  17044  34657  33760  33504
      32   18272  12560  15872  23426  15269  17013  36386  32807  32812
      64   18280  12571  15852  23445  15285  17022  36633  32943  32932
     128   15752  10635  12188  17988  11987  12376  21653  21483  21474
     256   15612  10663  12180  17748  11996  12444  21255  21251  21246
     512   15238  10029  11336  14777  11299  11649  16060  15939  16008
    1024   12616   8963  10018  12852   9767  10200  11805  11666  11786
    2048   10692   8288   9252  12008   9135   9362  10280  10264  10252
    4096   10468   8204   9115  11201   9061   9256  10042  10029  10023
    8192    9680   7830   8542  10210   8571   8789   8465   8432   8405

                End of test Tue Jan 18 14:23:05 2022

