 ##########################################

   Memory Reading Speed Test aarch64 armv8-a optimized Tue Jan 18 14:24:50 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   21779  15240  15924  23557  15234  17115  33086  33343  33673
      16   21913  15315  15872  23442  15218  17060  33549  34104  34085
      32   21875  15327  15868  23422  15261  17001  32843  36358  32800
      64   21903  15335  15896  23451  15300  17130  33039  36646  33013
     128   17028  11952  12186  17551  12023  12491  20997  21003  21005
     256   15929  11890  12124  17617  12007  12353  21026  21018  21015
     512   14193  11063  11263  14536  11183  11406  15837  15906  15865
    1024   12041   9425   9631  12557   9775  10172  11845  11716  11688
    2048   11049   9135   9248  11257   9075   9470  10307  10238  10259
    4096   10683   8897   8981  10967   8840   9100   9944   9929   9929
    8192   10152   8621   8537  10607   8504   8751   8525   8502   8519

                End of test Tue Jan 18 14:25:07 2022

