 ##########################################

   Memory Reading Speed Test aarch64 armv8.1-a optimized Tue Jan 18 14:17:33 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   18280  12567  15939  23625  15173  17115  36306  33214  33531
      16   18299  12562  15884  23440  15298  17310  34671  33398  33504
      32   18272  12559  15870  23427  15270  16997  36386  32810  30951
      64   18285  12576  15867  23454  15273  16999  36654  32894  32899
     128   15516  10553  12096  17204  11764  12189  20643  20498  20508
     256   15635  10618  12176  17833  11966  12395  21399  21383  21377
     512   15274  10027  11362  14726  11185  11555  15939  15638  15774
    1024   12089   8926  10016  12804   8999  10114  11836  11766  11830
    2048   10740   8338   9352  11691   9175   9561  10344  10331  10306
    4096   10453   8209   9092  11203   9089   9365  10107  10088  10088
    8192    9763   7896   8664  10492   8642   8859   8531   8534   8494

                End of test Tue Jan 18 14:17:51 2022

