 ##########################################

   Memory Reading Speed Test aarch64 armv8.1-a optimized Tue Jan 18 14:18:43 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   21783  15241  15929  23559  15227  17126  33082  33353  33676
      16   21924  15336  15869  23441  15271  17073  33548  34096  34094
      32   21875  15328  15858  23423  15229  17001  32887  36424  32805
      64   21898  15335  15885  23444  15212  17049  33035  36675  33023
     128   16709  11831  12085  17199  11988  12228  20644  20635  20630
     256   16565  11714  11945  17034  11838  12130  20131  20111  20152
     512   14862  11506  11737  15186  11657  12036  16152  16159  16187
    1024   11696   9382   9623  11867   9434   9694  11558  11512  11517
    2048   10662   8860   8980  10852   8805   9101  10053   9989  10004
    4096   10759   8810   8875  10911   8818   9056   9855   9842   9825
    8192    9975   8471   8464  10165   8443   8646   8435   8408   8407

                End of test Tue Jan 18 14:19:01 2022

