 ##########################################

   Memory Reading Speed Test aarch64 armv8.2-a optimized Tue Jan 18 14:19:36 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   18284  12533  15942  23558  15224  17117  33113  33355  31388
      16   18295  12595  15842  23428  15263  17108  33546  33559  33784
      32   18270  12567  15855  23423  15252  17019  32875  32845  32839
      64   18279  12577  15889  23444  15282  17036  33022  33055  33043
     128   14901  10838  12077  17232  11857  12615  20669  20694  20700
     256   14874  10791  12068  17199  11834  12726  20449  20452  20451
     512   13646  10206  11577  15026  11337  12695  16267  16144  16180
    1024   10482   8719   9676  11918   9457  10198  11344  11325  11142
    2048   10281   8216   9138  11095   8985   9461  10081  10145  10149
    4096   10246   8199   9126  11053   8985   9321   9965   9941   9968
    8192    9613   7706   8501  10275   8635   8789   8523   8506   8513

                End of test Tue Jan 18 14:19:53 2022

