 ##########################################

   Memory Reading Speed Test aarch64 armv8.2-a optimized Tue Jan 18 14:20:11 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   21804  15253  15937  23558  15219  17130  33134  33353  33683
      16   21919  15305  15877  23442  15268  17075  33551  34087  34103
      32   21881  15306  15860  23422  15235  16996  32884  36428  32800
      64   21895  15334  15903  23448  15275  17014  33040  36667  33021
     128   17550  12081  12321  18188  12175  12491  21838  21828  21829
     256   17504  12091  12259  18108  12176  12442  21713  21713  21712
     512   14723  11278  11617  15098  11442  11634  17013  16958  16856
    1024   12251   9737   9988  12687   9839  10047  11945  11867  11849
    2048   11220   9145   9299  11595   9169   9435  10353  10299  10312
    4096   10938   9005   9087  11050   8930   9228  10070  10059  10063
    8192   10101   8630   8595  10409   8558   8824   8550   8533   8543

                End of test Tue Jan 18 14:20:28 2022

