
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version


   Memory Reading Speed Test vfpv4 32 Bit Version 1 Mon Oct  5 01:38:11 2020
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1364   1188   1684   1531   1199   1809   1327   1239   1404
      16    1366   1207   1689   1512   1206   1809   1322   1266   1406
      32    1352   1204   1654   1524   1202   1781   1316   1259   1390
      64     946    917   1127   1027    968   1251   1000    866    917
     128     945    915   1134   1024    967   1234    995    863    919
     256     471    458    507    491    484    532    309    287    297
     512     246    244    254    248    249    257    153    132    133
    1024     162    162    164    162    162    164    109     83     83
    2048     149    150    149    149    150    150    102     76     75
    4096     149    150    150    149    149    150    102     76     76
    8192     148    149    149    148    149    149    102     76     76

                End of test Mon Oct  5 01:38:49 2020

