    BusSpeed s390x s390x-z15 optimized Sun Jul 23 21:57:36 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  14785  16825  17255  16748  17351  16810
      32  15505  13838  15633  16753  17261  16819
      64  15649  15360  17202  15720  16072  16372
     128  12653  11382  12326  16851  17121  15837
     256   4134   6542   9810  13222  14588  15257
     512   4127   6890   9776  13075  14498  16151
    1024   5137   8715  12440  16469  16055  16496
    4096   5164   8381  12275  16370  16015  16451
   16384   1570   3236   5417   9931  16517  15192
   65536   1834   3438   5441   9587  16344  16034
