    BusSpeed s390x s390x-z15 optimized Sun Jul 23 21:58:27 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  22255  15649  16940  17066  17208  17182
      32  15306  14399  16089  17182  17311  17356
      64  16597  15469  17754  17277  17278  16270
     128  12647  15640  10898  14633  17425  17483
     256   4983   8276  12417  16394  14894  16732
     512   5081   8446  12299  16434  16207  17028
    1024   4986   8450  12297  16391  16205  16823
    4096   5046   8521  12139  16216  16191  17028
   16384   1940   3712   5457   9564  17410  16630
   65536   1882   3699   5527   9625  16689  15823
