    BusSpeed s390x s390x optimized Sun Jul 23 21:58:37 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  16022  16703  17181  16524  17244  16700
      32  13894  10925  15138  16673  17342  16659
      64  15902  15482  18040  16945  17319  16880
     128   8271  12816  16668  15330  16378  16869
     256   4659   8546  12401  16407  15992  16750
     512   5079   8694  12219  16481  16014  16746
    1024   5142   8764  12361  16504  16059  16712
    4096   4917   8545  12213  16197  15825  16634
   16384   1698   3605   5380   9897  16490  15954
   65536   1902   3730   5309   9846  16216  16016
