 ##########################################

   Memory Reading Speed Test s390x s390x-z15 optimized Sun Jul 23 22:51:05 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   30952  25528  55713  45407  18510  80371  39106  22754  23865
      16   50966  28784  56828  54342  32513  82757  38070  22176  31737
      32   60058  29171  59358  53432  30783  85920  21248  21635  33187
      64   56560  15624  35808  32018  18743  86460  41541  23172  25538
     128   54268  28165  58599  51755  18383  42197  25553  20431  25781
     256   29242  15954  29526  29117  26209  45967  26244  13434  22855
     512   43688  26605  58489  45095  21746  46315  27134  13855  16011
    1024   29096  14891  58355  36667  18350  46382  27143  13853  15905
    2048   28955  14846  34621  32200  29767  82871  31709  18792  22393
    4096   43522  26618  58523  45955  29720  82193  27201  13308  23382
    8192   32373  27082  50558  33433  31469  59064  23934  14917  16921

                End of test Sun Jul 23 22:51:22 2023

