 ##########################################

   Memory Reading Speed Test s390x s390x-z15 optimized Sun Jul 23 22:51:36 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   45161  24626  58407  52032  33290  81570  35773  23220  24625
      16   57417  25345  61083  53509  32766  82455  39444  21949  32843
      32   59876  19525  44283  52115  32384  84617  44098  22735  33564
      64   54136  25201  62944  53804  32057  85550  39880  20322  30132
     128   54852  24674  62517  49407  32155  85948  34788  19993  28468
     256   44031  24194  60606  47349  31971  83409  35817  18998  22827
     512   41982  22605  60653  47308  32174  83294  34160  18902  20972
    1024   43943  24145  60549  46180  32132  83673  35379  18812  23170
    2048   43512  21887  60157  47131  31992  82711  35642  18768  23580
    4096   43431  23927  60609  47464  32210  83260  35556  18146  23306
    8192   32134  23633  48141  32594  22949  59948  24108  15027  16769

                End of test Sun Jul 23 22:51:51 2023

