 ##########################################

   Memory Reading Speed Test s390x s390x optimized Sun Jul 23 22:52:24 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   37580  18925  17258  41991  19979  21762  26721  13240  13458
      16   32549  19516  17907  40257  20217  22068  26730  13232  13862
      32   37053  19956  17648  40790  20519  21449  27239  13776  13826
      64   36146  19709  17976  38992  20497  21576  26803  13148  13508
     128   32272  18660  17531  39258  14080  19484  23504  12590  12864
     256   31380  18241  17632  36928  19362  19948  23143  12419  12479
     512   31270  18260  17582  36748  19352  19862  22951  12420  12526
    1024   31149  18166  17648  37002  19387  19923  22915  12446  12580
    2048   30890  18333  17670  36843  19153  19988  22691  12434  12566
    4096   31212  17788  17514  36344  19352  19967  22804  12223  12533
    8192   23579  18417  18283  26534  19614  18788  15022  11341  11504

                End of test Sun Jul 23 22:52:41 2023

