    BusSpeed ia64 ia64 optimized Tue Feb  8 19:11:34 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2292   3018   4973   6086   6095   6146
      32   2058   1988   2277   2886   3070   3962
      64   2076   2001   2336   2897   3069   3970
     128   2067   2018   2305   2885   3068   3964
     256   1809   1932   2284   2863   3026   3910
     512    748   1184   1564   1986   2484   2974
    1024    770   1129   1504   1959   2457   2951
    4096    151    247    357    500    710   1054
   16384    122    200    292    410    586    889
   65536    122    200    292    410    586    887
