MemTotal:       12481632 kB
MemFree:        10564656 kB
Buffers:          262976 kB
Cached:          1129040 kB
SwapCached:            0 kB
Active:           992624 kB
Inactive:         676944 kB
Active(anon):     280096 kB
Inactive(anon):     6880 kB
Active(file):     712528 kB
Inactive(file):   670064 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1503216 kB
SwapFree:        1503216 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        277536 kB
Mapped:           120368 kB
Shmem:              9440 kB
Slab:             114864 kB
SReclaimable:      95248 kB
SUnreclaim:        19616 kB
KernelStack:        8480 kB
PageTables:         7968 kB
Quicklists:        19408 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     7744032 kB
Committed_AS:     860512 kB
VmallocTotal:   137429633024 kB
VmallocUsed:       49936 kB
VmallocChunk:   137429557952 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:     262144 kB
