 ##########################################

   Memory Reading Speed Test ia64 ia64 optimized Wed Feb 16 00:05:37 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1502   2219   6346   1502   2429   6358   3895   1820   8369
      16    1503   2221   6372   1503   2433   6370   3915   1823   8426
      32    1502   2223   3966   1503   2434   4693   3925   1825   8477
      64    1504   2223   3969   1504   2435   4698   3930   1826   4641
     128    1504   2223   3971   1504   2435   4699   3932   1825   4646
     256    1490   2023   3205   1490   2151   3933   3252   1780   3885
     512    1468   1943   2956   1468   2031   3643   2435   1635   3269
    1024    1465   1933   2931   1466   2015   3619   2286   1609   3100
    2048    1246   1555   2054   1245   1549   2459   1391   1146   1724
    4096     834   1039   1134    832    964   1368    609    581    822
    8192     756    990   1082    754    950   1230    521    507    748

                End of test Wed Feb 16 00:05:54 2022

