    BusSpeed i686 i686 optimized Tue Mar 21 01:47:16 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2498   2598   2748   3705   4577   6897
      32   3164   3235   2796   3653   4730   6966
      64    345    549   1024   1658   2418   4175
     128    136    239    499    868   1344   2505
     256     70    125    276    481    770   1546
     512     71    124    276    488    782   1548
    1024     70    123    276    492    782   1548
    4096     71    125    277    495    785   1542
   16384     71    127    276    494    785   1541
   65536     71    127    276    486    779   1550
