 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 02:16:49 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12551   6034   6911  14412   6274   7002   5519   3038   4963
      16    8548   5084   6041   9266   5602   5895   4929   2900   3692
      32    8497   4988   6060   9614   5429   5812   4986   2868   3585
      64    4193   3324   3639   4331   3489   3629   2289   1882   2058
     128    2022   1881   1951   2011   1938   1948   1056   1031   1050
     256    1403   1378   1380   1383   1374   1353    713    704    709
     512    1270   1253   1255   1230   1228   1258    637    632    633
    1024    1203   1196   1150   1197    855   1190    606    603    601
    2048    1225   1240   1243   1245   1228   1247    628    614    626
    4096    1254   1240   1240   1251   1232   1243    632    627    628
    8192    1229   1208   1198   1132   1192   1217    617    613    611

                End of test Tue Mar 21 02:17:08 2023

