    BusSpeed i686 i686 optimized Tue Mar 21 20:42:38 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1647   1665   1926   2525   3064   4684
      32   1862   1908   1962   2639   3337   4867
      64    340    550    947   1466   2176   3590
     128     93    168    340    663   1094   2029
     256     61    115    248    462    777   1509
     512     57    112    239    442    758   1454
    1024     59    112    240    434    741   1464
    4096     60    114    241    452    771   1482
   16384     60    113    241    444    765   1469
   65536     59    113    240    445    762   1468
