 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 21:15:56 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7652   3790   4816   9143   4196   4740   4155   2237   2962
      16    5925   3455   4122   6588   3659   4121   3586   2026   2565
      32    5713   3389   4105   6615   3596   4072   3732   2021   2434
      64    5599   3262   4052   6533   3558   4038   3456   2064   2381
     128    1291   1231   1256   1296   1260   1265    654    629    650
     256    1101   1076   1092   1107   1085   1086    554    548    550
     512     987    954    986    986    970    986    486    495    497
    1024     913    921    929    935    919    912    467    464    464
    2048     936    909    907    926    915    927    470    468    467
    4096     947    943    946    951    946    944    466    476    477
    8192     981    961    981    965    976    960    491    495    483

                End of test Tue Mar 21 21:16:10 2023

