 ##########################################

   Memory Reading Speed Test i686 i686 optimized Tue Mar 21 21:17:50 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7690   3873   5044   9297   3994   4995   5224   2613   3050
      16    6072   3456   4177   6681   3632   4282   4184   2359   2557
      32    5791   3388   3944   6351   3583   4242   4160   2372   2488
      64    3201   2676   2912   3210   2750   2919   1837   1500   1572
     128    2034   1804   1908   2046   1840   1883   1140   1021   1019
     256    1080   1064   1070   1082   1061   1067    536    538    539
     512     904    925    904    923    907    921    468    462    463
    1024     927    927    926    917    881    924    468    462    461
    2048     945    940    921    943    929    939    475    470    457
    4096     970    966    965    962    956    966    487    485    483
    8192     977    954    962    951    964    984    494    494    495

                End of test Tue Mar 21 21:18:05 2023

