    BusSpeed amd64 x86-64 optimized Mon Oct  3 10:28:54 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  24197  22352  24433  22729  22744  22801
      32  22520  20648  19183  22280  22732  22441
      64   7441   8693  13962  18829  20982  22386
     128   7104   7854  12863  17979  20945  22488
     256   4973   5817  10172  15234  19836  21692
     512   3016   4018   7199  11235  17403  21561
    1024   2734   3791   6879  11415  17544  21349
    4096   2729   3876   7013  11498  17475  21811
   16384   1419   1539   2832   5968  10523  16094
   65536    746   1270   2346   4371   7980  14644
