    BusSpeed amd64 x86-64 optimized Mon Oct  3 10:29:24 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  25120  23120  25486  23627  23473  23562
      32  23145  21222  19660  22902  23527  23183
      64   8486   9485  14552  19355  21702  23063
     128   7654   8683  13348  18240  21344  23027
     256   4714   5747   9812  15196  20098  21845
     512   2997   4072   7316  12190  18212  22015
    1024   2721   3873   6966  11775  18228  21759
    4096   2705   3873   7030  12033  18549  22009
   16384   1500   1597   3096   6022  10818  16300
   65536    795   1267   2342   4334   8042  14583
