    BusSpeed amd64 x86-64 optimized Tue Mar 29 14:18:37 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  13644  13621  21967  21082  21552  19159
      32  13544  11657  15098  19969  20650  20416
      64   5987   6949  10981  15822  19687  20736
     128   6692   7111  10385  15632  19493  20330
     256   4476   4515   8435  13166  18912  21118
     512   3057   3124   6111   9920  17204  20231
    1024   2877   3007   6017   9609  17357  20506
    4096   2968   3087   6083  10068  17551  21092
   16384   1017   1277   2547   5322  10038  16666
   65536    769   1078   2162   4727   9291  16503
