 ##########################################

   Memory Reading Speed Test amd64 x86-64 optimized Tue Mar 29 14:29:49 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   60472  80455  80301  78597  80420  80471  39497  29729  28240
      16   61319  80619  80587  80408  81173  80996  40216  30218  29435
      32   60960  81094  81739  80562  81650  81424  40102  30574  30198
      64   48872  75455  79658  50889  80413  80182  30510  29529  29562
     128   48428  75436  79685  49568  80221  80738  29720  29387  29100
     256   43886  69319  72960  46340  73872  70934  27155  26494  26261
     512   32720  57286  58531  32788  62136  62860  19085  19006  18368
    1024   31969  55873  56991  33315  60424  60778  18218  18142  18156
    2048   32475  55194  56486  33351  60070  60912  18153  18134  18177
    4096   32101  55305  55665  29719  58220  59527  18039  17159  17776
    8192   22844  45721  45010  24393  45917  46271  13006  12816  12834

                End of test Tue Mar 29 14:30:03 2022

