
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version

    BusSpeed i386 i386 optimized Sat Apr  3 19:14:01 2021
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1132   1305   2136   3073   3148   3193
      32   1021   1114   1086   1039   1814   2096
      64   1038   1120   1153   1037   1813   2097
     128   1070   1111   1165   1059   1808   2076
     256    123    118    122    243    474    747
     512     81     81     81    162    325    574
    1024     79     81     81    163    325    573
    4096     81     79     81    163    325    571
   16384     82     81     81    162    325    570
   65536     81     81     81    162    311    573

 Type additional information to include in busSpeed.txt - Press Enter
