
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version

    BusSpeed i386 i386 optimized Sat Apr  3 19:14:33 2021
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1133   1302   2198   3031   3129   3072
      32   1025   1118   1115   1537   1753   2078
      64   1035   1125   1153   1523   1817   2008
     128    291    292    291    548    925   1194
     256    226    230    225    442    808    993
     512     82     81     81    162    312    563
    1024     81     81     81    163    314    567
    4096     82     81     81    163    325    566
   16384     82     81     81    157    323    565
   65536     82     81     81    162    324    561

 Type additional information to include in busSpeed.txt - Press Enter
