
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version

    BusSpeed i386 i386 optimized Sun Dec  9 03:08:09 2018
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16     65     67    128    197    213    219
      32     48     48     48     61     99    141
      64     48     48     49     61     99    141
     128     19     20     19     27     48     79
     256     14     14     14     20     36     62
     512     10     10     10     15     27     47
    1024      8      8      8     13     23     40
    4096      7      7      7     12     20     37
   16384      8      7      7     11     20     37
   65536      7      7      7     11     20     37

 Type additional information to include in busSpeed.txt - Press Enter
