
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version


   Memory Reading Speed Test i386 i386 optimized Sun Dec  9 03:46:39 2018
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8     287    167    366    299    230    430    347    249    209
      16     279    163    360    293    227    411    122     90     79
      32     161    112    145    135    119    191     78     75     75
      64     160    112    144    134    119    190     64     62     62
     128      81     67     73     71     66     88     43     40     39
     256      71     61     67     65     62     77     39     38     38
     512      46     41     44     43     41     47     30     29     29
    1024      32     30     32     32     31     33     23     23     23
    2048      28     26     29     28     27     29     18     18     18
    4096      28     26     28     28     27     28     17     17     17
    8192      28     26     28     27     27     28     16     16     16

                End of test Sun Dec  9 03:49:45 2018

