    BusSpeed i686 i386 optimized Tue Mar 21 12:16:33 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2397   2481   2622   3717   4396   6369
      32   2880   3087   2603   3696   4415   6376
      64   3050   3329   2652   3582   4500   6484
     128   3249   3485   2696   3516   4502   6569
     256    290    487    926   1516   2252   3918
     512    162    281    579   1013   1542   2827
    1024     72    130    281    515    827   1622
    4096     70    131    285    516    829   1607
   16384     72    131    286    502    830   1628
   65536     71    131    286    515    831   1628
