    BusSpeed i686 i686 optimized Tue Mar 21 12:17:47 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2380   2464   2586   3670   4410   6394
      32   2943   3025   2595   3584   4467   6499
      64   2952   3327   2705   3464   4507   6545
     128   3057   3502   2663   3547   4521   6573
     256   2472   2795   2610   3506   4437   6398
     512    154    265    531    977   1493   2770
    1024     71    130    284    513    824   1622
    4096     72    127    285    516    831   1625
   16384     72    131    286    517    832   1626
   65536     72    130    284    515    831   1624
