    BusSpeed i686 i686 optimized Tue Mar 21 12:18:28 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2451   2500   2035   3638   4399   6362
      32   2901   3082   2577   3586   4188   6495
      64   3059   3332   2662   3460   4455   6495
     128   3185   3476   2676   3508   4485   5003
     256   2454   2692   2620   3428   4395   6487
     512    222    357    690   1187   1771   3165
    1024     71    130    283    505    828   1621
    4096     72    131    275    516    829   1625
   16384     71    131    285    513    831   1626
   65536     72    131    282    516    830   1615
