 ##########################################

   Memory Reading Speed Test i686 i686 optimized Tue Mar 21 12:51:08 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12880   5526   6929  13519   7015   6513   7231   4085   4664
      16    8089   4807   5671   9082   5096   5764   5737   3434   3512
      32    7775   4673   5730   8584   5175   5910   5551   3284   3442
      64    7451   4598   5734   8608   5063   5818   5677   3223   3336
     128    7420   4489   5572   8592   4978   5790   5665   3185   3260
     256    4311   3364   3729   4514   3526   3809   2627   2088   2128
     512    2474   2237   2349   2509   2302   2357   1324   1222   1235
    1024    1266   1262   1248   1261   1247   1241    647    639    641
    2048    1204   1214   1214   1210   1204   1209    619    603    610
    4096    1270   1257   1259   1260   1251   1242    642    636    634
    8192    1261   1250   1223   1246   1235   1244    637    630    629

                End of test Tue Mar 21 12:51:26 2023

