    BusSpeed i686 i386 optimized Tue Mar 21 13:58:18 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2828   2919   3010   4308   5140   7462
      32   3358   3592   2936   4093   5217   7583
      64   3424   3843   3013   4042   5256   7641
     128   3636   3999   3029   3968   5251   7660
     256   2905   3280   2987   4005   5172   7565
     512    155    269    555   1014   1540   2850
    1024     72    132    288    532    834   1671
    4096     72    132    289    535    846   1675
   16384     73    133    290    534    849   1672
   65536     73    133    283    536    848   1673
