MemTotal:        1539244 kB
MemFree:          842296 kB
MemAvailable:    1178512 kB
Buffers:           61856 kB
Cached:           433236 kB
SwapCached:            0 kB
Active:           293716 kB
Inactive:         321968 kB
Active(anon):     121452 kB
Inactive(anon):     1508 kB
Active(file):     172264 kB
Inactive(file):   320460 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        665544 kB
HighFree:         100708 kB
LowTotal:         873700 kB
LowFree:          741588 kB
SwapTotal:       1809216 kB
SwapFree:        1809216 kB
Dirty:                40 kB
Writeback:             0 kB
AnonPages:        120596 kB
Mapped:           110212 kB
Shmem:              2412 kB
KReclaimable:      20456 kB
Slab:              38280 kB
SReclaimable:      20456 kB
SUnreclaim:        17824 kB
KernelStack:        1840 kB
PageTables:         4836 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2578836 kB
Committed_AS:    1377592 kB
VmallocTotal:     122880 kB
VmallocUsed:        5940 kB
VmallocChunk:          0 kB
Percpu:              384 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       55288 kB
DirectMap2M:      851968 kB
