 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 14:28:37 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   13506   6512   7585  15124   6795   7567   6153   3289   5424
      16    9292   5514   6541  10238   6052   6373   5414   3151   4017
      32    9053   5438   6567  10437   5822   6472   5501   3127   3912
      64    9110   5326   6547  10267   5767   6427   5549   3106   3865
     128    9030   5280   6553  10088   5879   6309   5577   3104   3791
     256    8975   5240   6427   9981   5831   6345   5388   3084   3753
     512    2245   2089   2140   2272   2150   2143   1156   1092   1119
    1024    1284   1263   1267   1277   1261   1256    650    648    648
    2048    1254   1245   1239   1235   1240   1248    623    627    630
    4096    1303   1273   1282   1275   1281   1288    658    650    632
    8192    1305   1286   1282   1292   1277   1285    657    647    651

                End of test Tue Mar 21 14:28:55 2023

