 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 14:28:55 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   14963   6336   8122  15435   8424   7520   8301   4842   5498
      16    9455   5591   6660  10571   5934   6438   6651   4004   4186
      32    9058   5445   6730  10073   6042   6455   6584   3833   4036
      64    8802   5342   6717   9964   5888   6385   6617   3760   3929
     128    8646   5067   6641  10012   5797   6281   6594   3709   3782
     256    5102   3970   4475   5449   4194   4392   3210   2474   2525
     512    2620   2385   2521   2649   2515   2497   1357   1307   1305
    1024    1290   1267   1284   1292   1279   1276    656    653    645
    2048    1267   1257   1252   1258   1250   1256    632    637    635
    4096    1303   1291   1286   1292   1268   1290    654    651    653
    8192    1304   1288   1270   1294   1279   1287    652    652    652

                End of test Tue Mar 21 14:29:12 2023

