    BusSpeed i686 i386 optimized Tue Mar 21 15:14:07 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3287   1811   5196   7579   7944   8815
      32   1987   1977   3084   4513   4930   6606
      64   1972   1939   3154   4556   4956   6591
     128   1984   1992   3175   4581   4948   6504
     256   1922   1962   3095   4432   4903   6545
     512   1738   1922   2976   4130   4786   6396
    1024    157    292    580   1073   1861   3219
    4096     76    148    306    591   1107   2122
   16384     76    148    303    593   1112   2128
   65536     75    149    306    586   1109   2129
