    BusSpeed i686 i686 optimized Tue Mar 21 15:14:57 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3160   1813   4828   7311   8232   8832
      32   1903   1976   3053   4432   4955   6464
      64   1949   1958   3120   4562   4889   6494
     128   1997   1958   3093   4585   4944   6475
     256   1917   1940   3093   4434   4908   6535
     512   1764   1923   2994   4153   4739   6412
    1024    135    256    519    972   1719   3087
    4096     76    149    301    590   1110   2126
   16384     76    149    301    591   1113   2127
   65536     76    149    307    592   1112   2108
