 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 15:45:04 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   11824   4258   7217  13470   5244   7094   8001   5063   5742
      16    7926   4268   6604   8983   4865   6281   6827   4201   4552
      32    7216   4199   5502   8002   4680   5549   5874   3548   3816
      64    7179   4167   5593   7739   4582   5512   5906   3538   3772
     128    7133   4147   5552   7823   4550   5503   5962   3513   3778
     256    7080   4125   5483   7787   4573   5410   5954   3573   3781
     512    6975   4094   5339   7647   4555   5215   5817   3576   3693
    1024    2678   2335   2500   2696   2421   2512   1476   1375   1385
    2048    1307   1299   1292   1301   1285   1294    673    661    662
    4096    1294   1290   1282   1284   1276   1262    670    653    651
    8192    1316   1322   1307   1312   1297   1309    680    662    657

                End of test Tue Mar 21 15:45:21 2023

