 ##########################################

   Memory Reading Speed Test i686 i386 optimized Tue Mar 21 15:45:38 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   11998   4259   7210  13477   5256   6921   8004   5064   5714
      16    7929   4273   6625   8967   4885   6286   6828   4201   4553
      32    7207   4194   5560   8001   4670   5554   5819   3609   3818
      64    7184   4144   5584   7817   4604   5528   5925   3512   3757
     128    7129   4142   5562   7673   4604   5477   5962   3508   3746
     256    7087   4128   5494   7772   4570   5474   5956   3562   3782
     512    5946   3812   4782   6494   4206   4784   4634   3173   3210
    1024    2726   2380   2563   2795   2479   2580   1533   1413   1418
    2048    1314   1311   1328   1332   1321   1331    687    678    672
    4096    1366   1368   1355   1366   1361   1362    700    692    693
    8192    1422   1424   1418   1414   1417   1417    724    711    715

                End of test Tue Mar 21 15:45:54 2023

